context,subject,predicate,object,date,wiki
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/statement/Q100358170-E9C367C0-31BE-458E-8D24-4D0D17654F17>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/prop/direct/P478>,"""44""",20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/prop/direct/P953>,<https://www.elibrary.ru/item.asp?id=17359211>,20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/statement/Q100359876-E0314942-A2E2-4061-A94F-B1720C13525F>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/statement/Q100359876-99252F22-FAB4-4DBB-B946-136762FC3DD2>,<http://www.wikidata.org/prop/statement/P407>,<http://www.wikidata.org/entity/Q7737>,20220530,wikidata
<http://www.wikidata.org/entity/Q100150272>,<http://www.wikidata.org/entity/statement/Q100150272-4AF2F4EC-74F8-4F6E-8CE7-84727DC36465>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/statement/Q100359876-37ED5103-7D4A-4AF5-B201-E91081276E35>,<http://www.wikidata.org/prop/statement/P433>,"""6""",20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/statement/Q100358170-D7CD6F90-2C3B-48D6-8D2E-258893AFDEB3>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/88e1a9726832d832c3cf3ddf36b77be9e8221da9>,20220530,wikidata
<http://www.wikidata.org/entity/Q100150272>,<http://www.wikidata.org/entity/Q100150272>,<http://schema.org/description>,"""\u043D\u0430\u0443\u0447\u043D\u0438 \u0447\u043B\u0430\u043D\u0430\u043A""@sr",20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/statement/Q100358170-2ED655F9-2F13-4405-90FA-390A73FDAB1B>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100150272>,<http://www.wikidata.org/entity/statement/Q100150272-FA4E1233-42B7-47ED-A13E-6249499162C0>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/prop/P407>,<http://www.wikidata.org/entity/statement/Q100358170-BB11FBC2-F979-41FB-B96B-72D131CD09B4>,20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/Q100359876>,<http://schema.org/description>,"""article cient\u00EDfic""@ca",20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/prop/P1433>,<http://www.wikidata.org/entity/statement/Q100359876-1AAF0F60-897B-4E00-AECA-FAC65918A333>,20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/statement/Q100359876-56096404-1804-4AD4-BA6E-0D3DCAFF9E8B>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/d185a2026aa5459a17d4a94aa2e79e9edcbdc9ea>,20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/Q100359876>,<http://schema.org/description>,"""tudom\u00E1nyos cikk""@hu",20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/Q100359876>,<http://schema.org/description>,"""\u043D\u0430\u0443\u0447\u043D\u0430\u044F \u0441\u0442\u0430\u0442\u044C\u044F""@ru",20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/statement/Q100358170-14BF9864-DFD6-49B7-9D38-086CCF7B908A>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100358170>,<http://www.wikidata.org/entity/statement/Q100358170-E9C367C0-31BE-458E-8D24-4D0D17654F17>,<http://www.wikidata.org/prop/statement/P2093>,"""\u041C \u0410 \u0410\u0431\u0434\u0443\u043B\u043B\u0430\u0435\u0432""",20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/statement/Q100359876-2964B776-78E9-4025-90C7-ED0E7B505FF3>,<http://www.wikidata.org/prop/statement/P1476>,"""\u0421\u041A\u0410\u041D\u0418\u0420\u0423\u042E\u0429\u0410\u042F \u042D\u041B\u0415\u041A\u0422\u0420\u041E\u041D\u041D\u0410\u042F \u041C\u0418\u041A\u0420\u041E\u0421\u041A\u041E\u041F\u0418\u042F \u0427\u0415\u0428\u0423\u0418 \u041A\u0415\u0422\u042B ONCORHYNCHUS KETA (SALMONIDAE)""@ru",20220530,wikidata
<http://www.wikidata.org/entity/Q100359876>,<http://www.wikidata.org/entity/statement/Q100359876-480E19E0-A3F2-4723-AEDD-C39514E7C8FE>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/d185a2026aa5459a17d4a94aa2e79e9edcbdc9ea>,20220530,wikidata
