context,subject,predicate,object,date,wiki
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-B2A96FEC-0E7D-48EA-A9DC-9F7EE150D001>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/statement/Q100413010-A176ACB4-4E12-4C38-8EC6-92219083C7DB>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/statement/Q100413010-A2357319-94DC-493C-BC99-50352E5FC933>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/5c3bbf17dd3a64bb70a18147bbdfdbfe89c30156>,20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/prop/direct/P2093>,"""Sridevi Addanki""",20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/prop/direct/P698>,"""33074669""",20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-D399CF6A-3051-488A-B748-F5BA61043FDB>,<http://www.wikidata.org/prop/statement/P356>,"""10.1159/000510446""",20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/Q100541859>,<http://schema.org/description>,"""artigo cient\u00EDfico""@pt-br",20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/prop/direct/P2093>,"""Rebecca Wong""",20220530,wikidata
<http://www.wikidata.org/entity/Q100413009>,<http://www.wikidata.org/entity/statement/Q100413009-BDE081D8-CA7A-48E0-BBC8-34383CA84915>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q30347498>,<http://www.wikidata.org/entity/Q30347498>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Chin-Yo Lin""@es",20220530,wikidata
<http://www.wikidata.org/entity/Q30347498>,<http://www.wikidata.org/entity/Q30347498>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Chin-Yo Lin""@en",20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-2210699F-D7CC-4E3F-80D7-0D43EBD344D4>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/0723282bb80042897ca697416c050b4bf7fb5428>,20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/prop/P433>,<http://www.wikidata.org/entity/statement/Q100413010-A176ACB4-4E12-4C38-8EC6-92219083C7DB>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/Q100541859>,<http://schema.org/description>,"""videnskabelig artikel udgivet 14. oktober 2020""@da",20220530,wikidata
<http://www.wikidata.org/entity/Q89848268>,<http://www.wikidata.org/entity/statement/Q89848268-186150D9-A492-4045-8FFE-25BCBEA4F71F>,<http://www.wikidata.org/prop/statement/P106>,<http://www.wikidata.org/entity/Q1650915>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-2210699F-D7CC-4E3F-80D7-0D43EBD344D4>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-78991D44-8261-416F-9FBE-2CB48CF02B17>,<http://www.wikidata.org/prop/statement/P2093>,"""Geoffrey Liu""",20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/prop/direct/P2860>,<http://www.wikidata.org/entity/Q27136894>,20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/Q100732071>,<http://schema.org/description>,"""vitenskapelig artikkel""@nb",20220530,wikidata
<http://www.wikidata.org/entity/Q100413009>,<http://www.wikidata.org/entity/statement/Q100413009-84DF9E94-D4B2-43EF-B065-FF0603A47FF8>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q30347498>,<http://www.wikidata.org/entity/statement/Q30347498-78176381-D4E4-44B6-99A5-A46EDB589211>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/636788fd7d49e65b749b4c5e4df2b6512b2a3965>,20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/Q100413010>,<http://schema.org/dateModified>,"""2021-05-21T03:32:02Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/prop/P2860>,<http://www.wikidata.org/entity/statement/Q100732071-9839CB47-659C-4AAF-8D3F-790FF8C5514A>,20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/statement/Q100732071-335D246B-EC67-4FEF-9B78-F95DBA433612>,<http://www.wikidata.org/prop/qualifier/P1545>,"""7""",20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/statement/Q100413010-05A7C949-C721-44D0-9E8E-7AAB4C000D4E>,<http://www.wikidata.org/prop/statement/value/P577>,<http://www.wikidata.org/value/be22000638b3509c3a481d04f78778ca>,20220530,wikidata
<http://www.wikidata.org/entity/Q85692908>,<http://www.wikidata.org/entity/Q85692908>,<http://www.wikidata.org/prop/P108>,<http://www.wikidata.org/entity/statement/Q85692908-915FE566-E65A-44BD-8DA8-7C36DC1BAC33>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/Q100541859>,<http://schema.org/description>,"""scienca artikolo""@eo",20220530,wikidata
<http://www.wikidata.org/entity/Q100413009>,<http://www.wikidata.org/entity/statement/Q100413009-D57D904E-17DF-4ABA-B732-21727B4BAF6A>,<http://www.wikidata.org/prop/statement/P496>,"""0000-0001-9109-7415""",20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/Q100413010>,<http://schema.org/description>,"""artikel ilmiah""@id",20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/statement/Q100732071-714EDF02-130C-4B77-B864-23495396E898>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-DA5F0991-A8D9-43EB-92A3-DBBDCAE6B9E4>,<http://www.w3.org/ns/prov#wasDerivedFrom>,<http://www.wikidata.org/reference/fbbdd86412041cab6ce293502269ce457f1f52a0>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-D99DC560-800D-4062-BDF9-9B46B677E721>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-80F75AA8-3D1E-46CA-A78F-A20ADFEB04C2>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q57075410>,<http://www.wikidata.org/entity/statement/Q57075410-83209AF0-300A-4159-B7C6-BDD53D68783A>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/statement/Q100413010-9E06420C-980D-4FF2-9B94-6A75FA5C0079>,<http://www.wikidata.org/prop/statement/P2860>,<http://www.wikidata.org/entity/Q29396268>,20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/Q100732071>,<http://schema.org/description>,"""tieteellinen artikkeli""@fi",20220530,wikidata
<http://www.wikidata.org/entity/Q30347498>,<http://www.wikidata.org/entity/Q30347498>,<http://www.wikidata.org/prop/direct/P108>,<http://www.wikidata.org/entity/Q5533481>,20220530,wikidata
<http://www.wikidata.org/entity/Q57075410>,<http://www.wikidata.org/entity/Q57075410>,<http://www.wikidata.org/prop/direct/P108>,<http://www.wikidata.org/entity/Q104628981>,20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/statement/Q100732071-49B704E2-5B57-4230-BBAC-9C47F1895BCC>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q85692908>,<http://www.wikidata.org/entity/Q85692908>,<http://www.wikidata.org/prop/direct/P108>,<http://www.wikidata.org/entity/Q7244693>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-78991D44-8261-416F-9FBE-2CB48CF02B17>,<http://www.wikidata.org/prop/qualifier/P1545>,"""9""",20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/statement/Q100541859-45868E02-FC8D-4B45-99D2-CABBBFDB12BD>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100413010>,<http://www.wikidata.org/entity/Q100413010>,<http://schema.org/description>,"""bilimsel makale""@tr",20220530,wikidata
<http://www.wikidata.org/entity/Q57075410>,<http://www.wikidata.org/entity/Q57075410>,<http://www.wikidata.org/prop/P2798>,<http://www.wikidata.org/entity/statement/Q57075410-D0766E28-ADC3-4F7C-826F-8D499F9477CE>,20220530,wikidata
<http://www.wikidata.org/entity/Q100541859>,<http://www.wikidata.org/entity/Q100541859>,<http://schema.org/description>,"""2020\u5E74\u5B66\u672F\u6587\u7AE0""@zh-hans",20220530,wikidata
<http://www.wikidata.org/entity/Q30347498>,<http://www.wikidata.org/entity/statement/Q30347498-AD3FC0AB-B387-410D-97B2-929C742C0B6A>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220530,wikidata
<http://www.wikidata.org/entity/Q100732071>,<http://www.wikidata.org/entity/statement/Q100732071-ADDFDF91-5185-4980-8542-9A3352035727>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220530,wikidata
